2015,Rank,Pit 1 ,Pit 2,Pit 3,Driver,Cla,Chassis,Engine,1,2,3,4
Nico Rosberg,1,10,31,,Nico Rosberg,1,Mercedes,Mercedes,SS,S,S,
Lewis Hamilton,2,11,41,,Lewis Hamilton,2,Mercedes,Mercedes,SS,S,S,
Kimi Raikkonen,3,10,32,,Kimi Raikkonen,3,Ferrari,Ferrari,SS,S,S,
Sebastian Vettel,4,23,39,,Sebastian Vettel,4,Ferrari,Ferrari,S,S,SS,
Daniel Ricciardo,6,6,26,,Daniel Ricciardo,6,Red Bull,Renault,SS,S,S,
Daniil Kvyat,10,5,25,,Daniil Kvyat,10,Red Bull,Renault,SS,S,S,
2016,Rank,Pit 1 ,Pit 2,Pit 3,Driver,Cla,Chassis,Engine,1,2,3,4
Lewis Hamilton,1,7,28,,Lewis Hamilton,1,Mercedes,Mercedes,US,S,S,
Nico Rosberg,2,8,29,,Nico Rosberg,2,Mercedes,Mercedes,US,S,S,
Sebastian Vettel,3,8,37,,Sebastian Vettel,3,Ferrari,Ferrari,US,S,SS,
Max Verstappen,4,21,,,Max Verstappen,4,Red Bull,TAG,SS,S,,
Daniel Ricciardo,5,9,24,,Daniel Ricciardo,5,Red Bull,TAG,SS,S,S,
Kimi Raikkonen,6,7,25,,Kimi Raikkonen,6,Ferrari,Ferrari,US,S,S,
2017,Rank,Pit 1 ,,Pit 3,Driver,Cla,Chassis,Engine,1,2,3,4
Valtteri Bottas,1,21,,,Valtteri Bottas,1,Mercedes,Mercedes,US,SS,,
Lewis Hamilton,2,24,,,Lewis Hamilton,2,Mercedes,Mercedes,US,SS,,
Sebastian Vettel,3,20,,,Sebastian Vettel,3,Ferrari,Ferrari,US,SS,,
Kimi Raikkonen,4,15,,,Kimi Raikkonen,4,Ferrari,Ferrari,US,SS,,
Max Verstappen,5,14,,,Max Verstappen,5,Red Bull,TAG,US,SS,,
Daniel Ricciardo,,19,,,Daniel Ricciardo,,Red Bull,TAG,US,SS,,
2018,Rank,Pit 1 ,Pit 2,Pit 3,Driver,Cla,Chassis,Engine,1,2,3,
Lewis Hamilton,1,7,,,Lewis Hamilton,1,Mercedes,Mercedes,US,SS,,
Sebastian Vettel,2,15,,,Sebastian Vettel,2,Ferrari,Ferrari,US,SS,,
Max Verstappen,3,17,,,Max Verstappen,3,Red Bull,TAG,HS,SS,,
Daniel Ricciardo,4,33,,,Daniel Ricciardo,4,Red Bull,TAG,US,SS,,
Valtteri Bottas,5,16,40,,Valtteri Bottas,5,Mercedes,Mercedes,US,SS,US,
Kimi Raikkonen,,,,,Kimi Raikkonen,,Ferrari,Ferrari,US,,,
2019,Rank,Pit 1 ,Pit 2,Pit 3,Driver,Cla,Chassis,Engine,1,2,3,
Lewis Hamilton,1,26,,,Lewis Hamilton,1,Mercedes,Mercedes,M,H,,
Max Verstappen,2,13,,,Max Verstappen,2,Red Bull,Honda,M,H,,
Charles Leclerc,3,12,38,,Charles Leclerc,3,Ferrari,Ferrari,M,H,S,
Valtteri Bottas,4,29,,,Valtteri Bottas,4,Mercedes,Mercedes,M,H,,
Sebastian Vettel,5,12,38,,Sebastian Vettel,5,Ferrari,Ferrari,S,H,M,
Alex Albon,6,25,,,Alex Albon,6,Red Bull,Honda,M,H,,
2020,Rank,Pit 1 ,Pit 2,Pit 3,Driver,Cla,Chassis,Engine,1,2,3,4
Max Verstappen,1,10,,,Max Verstappen,1,Red Bull,Honda,M,H,,
Valtteri Bottas,2,10,,,Valtteri Bottas,2,Mercedes,Mercedes,M,H,,
Lewis Hamilton,3,10,,,Lewis Hamilton,3,Mercedes,Mercedes,M,H,,
Alex Albon,4,10,,,Alex Albon,4,Red Bull,Honda,S,H,,
Charles Leclerc,13,22,,,Charles Leclerc,13,Ferrari,Ferrari,M,H,,
Sebastian Vettel,14,35,,,Sebastian Vettel,14,Ferrari,Ferrari,H,M,,
2021,Rank,Pit 1 ,Pit 2,Pit 3,Driver,Cla,Chassis,Engine,1,2,3,4
Max Verstappen,1,13,36,53,Max Verstappen,1,Red Bull,Honda,S,H,H,S
Lewis Hamilton,2,14,,,Lewis Hamilton,2,Mercedes,Mercedes,M,H,,
Carlos Sainz,3,19,,,Carlos Sainz,3,Ferrari,Ferrari,S,H,,
Valtteri Bottas,6,30,,,Valtteri Bottas,6,Mercedes,Mercedes,M,H,,
Charles Leclerc,10,15,35,,Charles Leclerc,10,Ferrari,Ferrari,S,H,M,
Sergio Perez,15,21,36,53,Sergio Perez,15,Red Bull,Honda,S,H,H,S
2022,Rank,Pit 1 ,Pit 2,Pit 3,Driver,Cla,Chassis,Engine,1,2,3,
Max Verstappen,1,20,,,Max Verstappen,1,Red Bull,Red Bull,M,H,,
Charles Leclerc,2,21,,,Charles Leclerc,2,Ferrari,Ferrari,M,H,,
Sergio Perez,3,15,33,,Sergio Perez,3,Red Bull,Red Bull,M,H,H,
Carlos Sainz,4,17,39,,Carlos Sainz,4,Ferrari,Ferrari,M,H,H,
George Russell,5,15,39,,George Russell,5,Mercedes,Mercedes,M,H,M,
Lewis Hamilton,18,18,,,Lewis Hamilton,18,Mercedes,Mercedes,M,H,,
