Year,FDI (US Dollars),Country
2000,-506329999.9,United Arab Emirates
2001,1183840000,United Arab Emirates
2002,95299999.9,United Arab Emirates
2003,4255956433,United Arab Emirates
2004,10003500000,United Arab Emirates
2005,10899931926,United Arab Emirates
2006,12805990470,United Arab Emirates
2007,14186521443,United Arab Emirates
2008,5062972005,United Arab Emirates
2009,1134288135,United Arab Emirates
2010,8796769641,United Arab Emirates
2011,7152095826,United Arab Emirates
2012,9566651351,United Arab Emirates
2013,9764914527,United Arab Emirates
2014,11071537020,United Arab Emirates
2015,8550901847,United Arab Emirates
2016,9604773000,United Arab Emirates
2017,10354223000,United Arab Emirates
2018,10385286000,United Arab Emirates
2019,17874659401,United Arab Emirates
2020,19884468665,United Arab Emirates
2000,363562321.9,Bahrain
2001,80358858.37,Bahrain
2002,216986881.6,Bahrain
2003,516700276.4,Bahrain
2004,865308118.6,Bahrain
2005,1048601306,Bahrain
2006,2914659868,Bahrain
2007,1756312515,Bahrain
2008,1793998355,Bahrain
2009,257149561.4,Bahrain
2010,155771009.2,Bahrain
2011,780851063.8,Bahrain
2012,1544680851,Bahrain
2013,3727712766,Bahrain
2014,1518617021,Bahrain
2015,64893617.02,Bahrain
2016,243351063.8,Bahrain
2017,518882978.7,Bahrain
2018,111170212.8,Bahrain
2019,1501329787,Bahrain
2020,1021276596,Bahrain
2000,16299834.37,Kuwait
2001,-111516284.5,Kuwait
2002,3619441.977,Kuwait
2003,-67111499.34,Kuwait
2004,23752969.12,Kuwait
2005,233904109.6,Kuwait
2006,121305596.3,Kuwait
2007,111535690.2,Kuwait
2008,-5951752.859,Kuwait
2009,1113588047,Kuwait
2010,1304627500,Kuwait
2011,3259067552,Kuwait
2012,2872588962,Kuwait
2013,1433630444,Kuwait
2014,485806657.8,Kuwait
2015,284647623.8,Kuwait
2016,292026510.2,Kuwait
2017,113012065,Kuwait
2018,-21377568.82,Kuwait
2019,515617569.4,Kuwait
2020,-558055522.6,Kuwait
2000,82000000,Oman
2001,5201560.468,Oman
2002,109232769.8,Oman
2003,24967490.25,Oman
2004,111053316,Oman
2005,1538361508,Oman
2006,1596098830,Oman
2007,3332119636,Oman
2008,2951885566,Oman
2009,1485825748,Oman
2010,1242652796,Oman
2011,1629144343,Oman
2012,1364629389,Oman
2013,1612430962,Oman
2014,1286345904,Oman
2015,-2172431730,Oman
2016,2265279584,Oman
2017,2917295189,Oman
2018,5941222367,Oman
2019,4376853056,Oman
2020,2859557867,Oman
2000,251599999.9,Qatar
2001,295519999.9,Qatar
2002,623919999.9,Qatar
2003,624919999.9,Qatar
2004,1198970000,Qatar
2005,2500000000,Qatar
2006,3500000000,Qatar
2007,4700000000,Qatar
2008,3778626374,Qatar
2009,8124736264,Qatar
2010,4670329670,Qatar
2011,938516483.5,Qatar
2012,395879120.9,Qatar
2013,-840384615.4,Qatar
2014,1040384615,Qatar
2015,1070879121,Qatar
2016,773901098.9,Qatar
2017,985989011,Qatar
2018,-2186263736,Qatar
2019,-2812637363,Qatar
2020,-2434065934,Qatar
2000,-1881066667,Saudi Arabia
2001,19640000,Saudi Arabia
2002,-614133333.3,Saudi Arabia
2003,-586506666.7,Saudi Arabia
2004,-334320000,Saudi Arabia
2005,12097333333,Saudi Arabia
2006,18293173333,Saudi Arabia
2007,24318560000,Saudi Arabia
2008,39455863929,Saudi Arabia
2009,36457666667,Saudi Arabia
2010,29232706667,Saudi Arabia
2011,16308280000,Saudi Arabia
2012,12182373333,Saudi Arabia
2013,8864693333,Saudi Arabia
2014,8011786667,Saudi Arabia
2015,8141026667,Saudi Arabia
2016,7452533333,Saudi Arabia
2017,1418843614,Saudi Arabia
2018,4247107441,Saudi Arabia
2019,4562573671,Saudi Arabia
2020,5399157040,Saudi Arabia
